message_id,action,message_type,reason,confidence,evidence_message_ids
msg_058,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0241;message_0078;message_0172
msg_026,mute,scam,The sender identity or domain is inconsistent with the pressured financial request.,0.93,message_0032;message_0028;message_0107
msg_047,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0149;message_0150;message_0001
msg_046,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0148;message_0147
msg_042,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0140;message_0058;message_0139
msg_079,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0369;message_0045;message_0023
msg_098,digest,event,Safe content with no immediate action can be reviewed later.,0.72,message_0226;message_0359;message_0168
msg_037,notify,unknown,Similar messages previously received quick engagement from this user.,0.7,message_0001;message_0130;message_0269
msg_007,digest,unknown,Similar useful messages were opened later without urgent engagement.,0.69,message_0070;message_0069
msg_085,digest,business_update,Media extraction is uncertain; contextual history supports this conservative route.,0.69,none
msg_001,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0057;message_0240;message_0058
msg_021,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0068;message_0098;message_0029
msg_028,mute,promotion,The user opted out of or repeatedly dismissed similar marketing.,0.88,message_0034;message_0314;message_0315
msg_012,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0079;message_0247;message_0080
msg_064,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0087;message_0183;message_0201
msg_103,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0065;message_0382;message_0049
msg_031,notify,unknown,Similar messages previously received quick engagement from this user.,0.69,message_0117;message_0249;message_0118
msg_057,notify,unknown,Similar messages previously received quick engagement from this user.,0.72,message_0169;message_0059;message_0003
msg_087,mute,unknown,Media extraction is uncertain; contextual history supports this conservative route.,0.68,message_0204;message_0203;message_0223
msg_067,notify,payment,Similar messages previously received quick engagement from this user.,0.72,message_0068;message_0098;message_0029
msg_039,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0364;message_0051;message_0037
msg_082,notify,unknown,Media extraction is uncertain; contextual history supports this conservative route.,0.68,message_0218;message_0397
msg_066,mute,promotion,The user opted out of or repeatedly dismissed similar marketing.,0.88,message_0402;message_0257;message_0336
msg_049,notify,business_update,A legitimate update matches the user's active transaction or booking.,0.88,message_0154;message_0291;message_0153
msg_015,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0085;message_0199;message_0086
msg_051,mute,promotion,The user opted out of or repeatedly dismissed similar marketing.,0.88,message_0257;message_0402;message_0337
msg_097,digest,personal,Safe content with no immediate action can be reviewed later.,0.72,message_0366;message_0054;message_0225
msg_089,digest,personal,Safe content with no immediate action can be reviewed later.,0.72,none
msg_053,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0161;message_0411;message_0253
msg_059,digest,unknown,Similar useful messages were opened later without urgent engagement.,0.68,message_0213;message_0195;message_0045
msg_024,mute,promotion,The user opted out of or repeatedly dismissed similar marketing.,0.88,message_0257;message_0402;message_0337
msg_072,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0085;message_0199;message_0086
msg_036,mute,business_update,Similar messages were previously dismissed or suppressed by this user.,0.84,message_0283;message_0127;message_0128
msg_076,mute,scam,The sender identity or domain is inconsistent with the pressured financial request.,0.93,message_0207;message_0208;message_0159
msg_055,notify,unknown,Similar messages previously received quick engagement from this user.,0.7,message_0166;message_0165;message_0387
msg_102,notify,personal,Similar messages previously received quick engagement from this user.,0.82,message_0371;message_0230;message_0169
msg_080,notify,unknown,Similar messages previously received quick engagement from this user.,0.7,message_0130;message_0190;message_0142
msg_093,digest,event,Safe content with no immediate action can be reviewed later.,0.72,none
msg_034,mute,greeting,Repeated forwarded social content is low-value for this user.,0.86,message_0013;message_0014;message_0077
msg_035,digest,business_update,Similar useful messages were opened later without urgent engagement.,0.84,message_0281;message_0302;message_0273
msg_101,digest,personal,Similar useful messages were opened later without urgent engagement.,0.77,message_0370;message_0229;message_0268
msg_041,digest,event,Safe content with no immediate action can be reviewed later.,0.72,message_0329;message_0308;message_0287
msg_011,mute,greeting,Repeated forwarded social content is low-value for this user.,0.86,message_0014;message_0013;message_0077
msg_110,mute,scam,The message requests a sensitive code or account detail under suspicious pressure.,0.95,message_0238
msg_095,mute,scam,The message tries to manipulate routing and requests sensitive verification.,0.96,message_0087;message_0183;message_0201
msg_074,mute,scam,The message applies urgent QR-payment pressure without a safe verified flow.,0.91,message_0301;message_0203;message_0204
msg_073,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0087;message_0183;message_0201
msg_054,mute,payment,Similar messages were previously dismissed or suppressed by this user.,0.69,message_0163;message_0164;message_0389
msg_068,digest,event,Similar useful messages were opened later without urgent engagement.,0.71,message_0191;message_0192
msg_100,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0362;message_0228;message_0117
msg_062,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0043;message_0289;message_0068
msg_096,digest,personal,Safe content with no immediate action can be reviewed later.,0.72,none
msg_043,mute,forward,Repeated forwarded social content is low-value for this user.,0.86,message_0067;message_0097;message_0001
msg_077,notify,event,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0051;message_0403;message_0037
msg_081,notify,unknown,Media extraction is uncertain; contextual history supports this conservative route.,0.68,message_0217
msg_025,notify,business_update,A legitimate update matches the user's active transaction or booking.,0.88,message_0239;message_0004;message_0031
msg_084,digest,business_update,Media extraction is uncertain; contextual history supports this conservative route.,0.69,none
msg_022,notify,urgent,"A direct, time-sensitive dependency requires prompt attention.",0.88,message_0099;message_0100;message_0151
