message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,normalized_text,message_opened,message_replied,reaction_time_minutes,notification_dismissed,muted_after_message,message_reported,weak_action,template,do_not_disturb_window,user_opened_30d,user_replied_30d,user_dismissed_30d,user_reported_30d,group_type,role,joined_at,messages_sent_30d_x,group_messages_read,group_replies_sent,notifications_dismissed_30d,group_muted_by_user,display_name,brand_name,business_category,business_verified,official_domain,domain_used_by_sender,business_account_age_days,messages_sent_30d_y,business_reports_30d,domain_used_by_sender_age_days,why_user_knows_account,last_activity_at,allows_promotions,promotions_opted_out_at,business_activity_count,messages_opened_30d,business_messages_dismissed,messages_replied_30d,last_reply_at,has_business_relationship,load_notifications_sent,load_notifications_dismissed,leakage_group
message_0321,u_028,business,,business_100,,2026-04-15 07:08,"Security profile update

Firewall profile has documented a port filtering adjustment, 442801.

Verify to continue.",,,0,"security profile update firewall profile has documented a port filtering adjustment, 442801. verify to continue.",0,0,,1,1,1,mute,security profile update firewall profile has documented a port filtering adjustment <num> verify to continue,23:30-07:30,42,5,45,1,,,,,,,,,Firewall Verification Desk,Unknown,security,0,,,12,1790,29,12,,,,,,,,,,,9.0,2.5,leak-1826619c5d6cde35
message_0317,u_027,business,,business_094,,2026-04-08 17:46,"New here? 50% Off Won't Wait!

Welcome! Get 50% off with TRY50.

But hurry, it might expire soon.

Ready to place your first order? Use it now!

T&C apply. Reply STOP to unsubscribe",,,0,"new here? 50% off won't wait! welcome! get 50% off with try50. but hurry, it might expire soon. ready to place your first order? use it now! t&c apply. reply stop to unsubscribe",0,0,,1,1,0,mute,new here <num> off won t wait welcome get <num> off with try50 but hurry it might expire soon ready to place your first order use it now t c apply reply stop to unsubscribe,22:00-07:00,29,4,71,2,,,,,,,,,Swish,Swish,food_delivery,1,swish.in,swish.in,4378,5242,6,3426,food_promotions_opted_out,2026-06-03 08:46,0,2026-07-17 23:55,3,0,9,0,,1,8.0,3.5,leak-18ece2e5df898dc7
message_0232,u_033,personal,,,u_048,2026-06-18 12:12,"Hi, the kurta set is still available. I can keep it till evening if you want to pick it up.",,,0,"hi, the kurta set is still available. i can keep it till evening if you want to pick it up.",0,0,,1,1,0,mute,hi the kurta set is still available i can keep it till evening if you want to pick it up,22:00-08:00,21,3,77,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.071428571428571,5.5,leak-60680df93fed8b63
message_0407,u_005,business,,business_002,,2026-05-29 17:46,"Hi Customer,

Your latest account status has been updated.

Tap below to view the details securely in your banking app.

Team Banking Services",image,img_016,0,"hi customer, your latest account status has been updated. tap below to view the details securely in your banking app. team banking services",1,1,2,0,0,0,notify,hi customer your latest account status has been updated tap below to view the details securely in your banking app team banking services,22:30-07:00,73,20,34,0,,,,,,,,,HDFC Bank,HDFC Bank,bank,1,hdfc.bank.in,hdfc.bank.in,974,1286,4,758,recent_card_payment,2026-07-17 23:55,0,,6,8,0,3,2026-07-17 23:55,1,6.428571428571429,2.4285714285714284,leak-5f91d15454d04ee5
message_0274,u_012,group,group_007,,u_054,2026-03-17 12:24,I found two refundable stays in Leh. Sharing options here so we can decide over the weekend.,,,1,i found two refundable stays in leh. sharing options here so we can decide over the weekend.,1,0,120,0,0,0,digest,i found two refundable stays in leh sharing options here so we can decide over the weekend,23:00-07:00,58,13,17,4,alumni,admin,2024-05-15,11,11,4,2,0,,,,,,,,,,,,,,,,,,,,,7.5,1.2142857142857142,leak-54ec8a7523860d35
message_0206,u_019,business,,business_061,,2026-05-26 17:39,Grab ride update: pickup point changed because of road closure near the main gate. Check grab.com/activity.,,,0,grab ride update: pickup point changed because of road closure near the main gate. check grab.com/activity.,1,1,2,0,0,0,notify,grab ride update pickup point changed because of road closure near the main gate check grab com activity,22:00-08:00,43,6,52,3,,,,,,,,,Grab,Grab,ride_booking,1,grab.com,grab.com,3157,3823,9,2469,ride_booked_today,2026-07-17 23:55,0,,6,6,1,1,2026-07-17 23:55,1,5.642857142857143,2.0714285714285716,leak-c34643adf0d71b0f
message_0049,u_032,group,group_005,,u_048,2026-05-22 12:57,"Selling a denim jacket, size M. I can send close-up photos on DM and keep it aside till evening if pickup works.",,,0,"selling a denim jacket, size m. i can send close-up photos on dm and keep it aside till evening if pickup works.",1,0,120,0,0,0,digest,selling a denim jacket size m i can send close up photos on dm and keep it aside till evening if pickup works,23:00-07:00,70,17,13,4,marketplace,member,2026-01-09,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,7.0,0.9285714285714286,leak-5062886e13fb65ca
message_0351,u_038,business,,business_067,,2026-03-04 07:08,"You just dropped something...

A limited shopping benefit is available on items you recently viewed.

Check the details in the app before the offer expires.

Reply STOP to unsubscribe",,,0,you just dropped something... a limited shopping benefit is available on items you recently viewed. check the details in the app before the offer expires. reply stop to unsubscribe,1,0,120,0,0,0,digest,you just dropped something a limited shopping benefit is available on items you recently viewed check the details in the app before the offer expires reply stop to unsubscribe,22:30-07:30,48,7,43,1,,,,,,,,,Target,Target,retail,1,target.com,target.com,3379,4081,6,2643,coupon_membership,2026-06-18 13:35,0,,5,6,3,3,2026-06-18 13:35,1,6.642857142857143,3.0,leak-ab0d61707e4dec0e
message_0102,u_002,business,,business_002,,2026-04-03 07:12,Monthly account statement is ready. Review the amount due and reward points in the app. This update is from HDFC Bank.,,,0,monthly account statement is ready. review the amount due and reward points in the app. this update is from hdfc bank.,1,0,120,0,0,0,digest,monthly account statement is ready review the amount due and reward points in the app this update is from hdfc bank,23:00-08:00,52,11,19,4,,,,,,,,,HDFC Bank,HDFC Bank,bank,1,hdfc.bank.in,hdfc.bank.in,974,1286,4,758,active_bank_account,2026-06-14 10:25,0,,3,6,0,2,2026-06-14 10:25,1,7.357142857142857,1.3571428571428572,leak-ced9d0c1c60c16eb
message_0164,u_040,group,group_014,,u_052,2026-05-14 17:24,Same message appeared in two resale threads today from new numbers with different payment links.,,,0,same message appeared in two resale threads today from new numbers with different payment links.,0,0,,1,1,1,mute,same message appeared in two resale threads today from new numbers with different payment links,00:00-07:00,17,2,81,4,local_food,member,2026-04-08,4,4,1,4,0,,,,,,,,,,,,,,,,,,,,,10.928571428571429,5.357142857142857,leak-3e531a93766f1879
message_0123,u_001,group,group_001,,u_051,2026-04-09 07:17,Good morning all. May today bring success and peace. Share positivity with friends.,,,0,good morning all. may today bring success and peace. share positivity with friends.,0,0,,1,1,0,mute,good morning all may today bring success and peace share positivity with friends,22:00-07:00,45,8,14,2,family,admin,2023-06-13,2,2,0,4,1,,,,,,,,,,,,,,,,,,,,,4.357142857142857,1.0,leak-3697ed29900319e0
message_0205,u_019,business,,business_061,,2026-05-16 12:31,Grab: your ride booking for today is confirmed. Driver details will appear closer to pickup.,,,0,grab: your ride booking for today is confirmed. driver details will appear closer to pickup.,1,1,2,0,0,0,notify,grab your ride booking for today is confirmed driver details will appear closer to pickup,22:00-08:00,43,6,52,3,,,,,,,,,Grab,Grab,ride_booking,1,grab.com,grab.com,3157,3823,9,2469,ride_booked_today,2026-07-17 23:55,0,,6,6,1,1,2026-07-17 23:55,1,5.642857142857143,2.0714285714285716,leak-e86b67aaf2b21c41
message_0202,u_005,group,group_005,,u_050,2026-04-16 12:12,Same message appeared in two resale threads today from new numbers with different payment links.,,,0,same message appeared in two resale threads today from new numbers with different payment links.,0,0,,1,1,1,mute,same message appeared in two resale threads today from new numbers with different payment links,22:30-07:00,73,20,34,0,marketplace,member,2026-01-05,11,11,3,3,0,,,,,,,,,,,,,,,,,,,,,6.428571428571429,2.4285714285714284,leak-f5ef248ec526ea77
message_0273,u_012,business,,business_093,,2026-03-07 07:17,"Dear customer,

International payouts don't have to be slow, expensive, or stressful.

RazorpayX Global Payouts helps simplify vendor payouts across markets.

Let's connect if any of the pain points resonate.

Team RazorpayX",,,0,"dear customer, international payouts don't have to be slow, expensive, or stressful. razorpayx global payouts helps simplify vendor payouts across markets. let's connect if any of the pain points resonate. team razorpayx",1,0,120,0,0,0,digest,dear customer international payouts don t have to be slow expensive or stressful razorpayx global payouts helps simplify vendor payouts across markets let s connect if any of the pain points resonate team razorpayx,23:00-07:00,58,13,17,4,,,,,,,,,RazorpayX,RazorpayX,payments,1,razorpayx.com,razorpayx.com,4341,5199,5,3397,business_payment_stack_interest,2026-05-07 14:22,1,,2,3,1,0,,1,7.5,1.2142857142857142,leak-38d69c1f99f524b8
message_0184,u_005,group,group_005,,u_050,2026-05-10 12:24,Same message appeared in two resale threads today from new numbers with different payment links.,,,0,same message appeared in two resale threads today from new numbers with different payment links.,0,0,,1,1,1,mute,same message appeared in two resale threads today from new numbers with different payment links,22:30-07:00,73,20,34,0,marketplace,member,2026-01-05,11,11,3,3,0,,,,,,,,,,,,,,,,,,,,,6.428571428571429,2.4285714285714284,leak-f5ef248ec526ea77
message_0060,u_010,group,group_004,,u_046,2026-03-22 07:03,Prod review got pulled earlier. Please keep failed-payment screenshots and retry backlog ready.,,,0,prod review got pulled earlier. please keep failed-payment screenshots and retry backlog ready.,1,1,2,0,0,0,notify,prod review got pulled earlier please keep failed payment screenshots and retry backlog ready,22:30-07:30,44,7,59,0,coworker,member,2025-08-20,8,8,2,1,0,,,,,,,,,,,,,,,,,,,,,7.785714285714286,2.7857142857142856,leak-e0a8079a9f2cc56f
message_0092,u_002,group,group_005,,u_050,2026-06-13 17:12,Same message appeared in two resale threads today from new numbers with different payment links.,,,0,same message appeared in two resale threads today from new numbers with different payment links.,0,0,,1,1,1,mute,same message appeared in two resale threads today from new numbers with different payment links,23:00-08:00,52,11,19,4,marketplace,member,2026-07-17,12,12,3,1,0,,,,,,,,,,,,,,,,,,,,,7.357142857142857,1.3571428571428572,leak-5e1e3ef4184c74a5
message_0138,u_001,business,,business_095,,2026-03-19 07:52,Polaris event update: registered participants can review session details through the survey link.,,,0,polaris event update: registered participants can review session details through the survey link.,1,0,120,0,0,0,digest,polaris event update registered participants can review session details through the survey link,22:00-07:00,45,8,14,2,,,,,,,,,Polaris School of Technology,Polaris School of Technology,education,1,polaris.school,weurl.co,4415,5285,7,3455,,,,,,,,,,,4.357142857142857,1.0,leak-f652f52241a1d3da
message_0105,u_001,business,,business_001,,2026-05-03 07:31,Order ending 4821 is packed and should reach the local hub tonight. This update is from Amazon.,,,0,order ending 4821 is packed and should reach the local hub tonight. this update is from amazon.,1,1,2,0,0,0,notify,order ending <num> is packed and should reach the local hub tonight this update is from amazon,22:00-07:00,45,8,14,2,,,,,,,,,Amazon India,Amazon India,ecommerce_delivery,1,amazon.in,amazon.in,937,1243,3,729,recent_grocery_delivery,2026-07-17 23:55,0,,3,5,1,0,,1,4.357142857142857,1.0,leak-970d05ff78d9631b
message_0025,u_033,group,group_005,,u_049,2026-04-16 12:31,Pending charge found. Pay now through link or service may stop today.,,,0,pending charge found. pay now through link or service may stop today.,0,0,,1,1,1,mute,pending charge found pay now through link or service may stop today,22:00-08:00,21,3,77,3,marketplace,member,2026-04-16,2,4,0,9,1,,,,,,,,,,,,,,,,,,,,,11.071428571428571,5.5,leak-11ca8fa99cac3a53
message_0299,u_021,business,,business_092,,2026-03-30 17:57,"When did a trip last change something about how you see yourself?

Ladakh is built for that. 7 nights, all in, from Rs 17,999 per person.

Tap below to view the itinerary.

Reply STOP to unsubscribe from marketing messages.",,,0,"when did a trip last change something about how you see yourself? ladakh is built for that. 7 nights, all in, from rs 17,999 per person. tap below to view the itinerary. reply stop to unsubscribe from marketing messages.",1,0,120,0,0,0,digest,when did a trip last change something about how you see yourself ladakh is built for that <num> nights all in from rs <num> per person tap below to view the itinerary reply stop to unsubscribe from marketing messages,22:00-07:00,57,12,10,2,,,,,,,,,Thrillophilia,Thrillophilia,travel,1,thrillophilia.com,link.wame.pro,4304,5156,4,3368,travel_package_interest,2026-07-17 23:55,1,,5,6,1,1,2026-07-17 23:55,1,3.642857142857143,0.7142857142857143,leak-f802c95fca2a8a53
message_0199,u_009,group,group_005,,u_049,2026-03-17 12:57,"Wallet KYC incomplete. Open link and confirm card number, PIN and OTP to continue payments.",,,0,"wallet kyc incomplete. open link and confirm card number, pin and otp to continue payments.",1,0,9,0,0,0,digest,wallet kyc incomplete open link and confirm card number pin and otp to continue payments,22:00-08:30,118,41,12,0,marketplace,member,2026-03-26,8,8,1,2,0,,,,,,,,,,,,,,,,,,,,,9.357142857142858,0.8571428571428571,leak-019217c6df0d1706
message_0293,u_019,business,,business_107,,2026-03-03 17:17,"Dear Customer,

Your 7 PM contemporary dance class is confirmed. Studio asks students to arrive 10 minutes early. This update is from ClassPass.

Tap below to view details.",,,0,"dear customer, your 7 pm contemporary dance class is confirmed. studio asks students to arrive 10 minutes early. this update is from classpass. tap below to view details.",1,1,2,0,0,0,notify,dear customer your <num> pm contemporary dance class is confirmed studio asks students to arrive <num> minutes early this update is from classpass tap below to view details,22:00-08:00,43,6,52,3,,,,,,,,,ClassPass,ClassPass,fitness_wellness,1,classpass.com,classpass.com,4859,5801,10,3803,dance_class_booking,2026-03-01 18:25,0,,4,8,0,0,,1,5.642857142857143,2.0714285714285716,leak-40415cf321d50802
message_0365,u_006,personal,,,u_050,2026-05-17 17:31,Your school refund is approved. Send bank details and OTP to release it before office closes.,,,0,your school refund is approved. send bank details and otp to release it before office closes.,0,0,,1,1,1,mute,your school refund is approved send bank details and otp to release it before office closes,21:00-06:00,80,23,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.857142857142857,2.142857142857143,leak-950d26b984c40d8b
message_0006,u_004,group,group_006,,u_054,2026-04-30 07:39,"@u_004 are you coming today? If yes I'll keep one cab seat. If not, tell before 5 because booking final.",,,0,"@u_004 are you coming today? if yes i'll keep one cab seat. if not, tell before 5 because booking final.",1,1,2,0,0,0,notify,u_004 are you coming today if yes i ll keep one cab seat if not tell before <num> because booking final,00:00-06:30,66,17,29,3,friends,member,2024-06-16,9,9,2,1,0,,,,,,,,,,,,,,,,,,,,,7.785714285714286,2.0714285714285716,leak-bc9c0ab1d54e4ea3
message_0215,u_011,group,group_002,,u_043,2026-03-06 17:31,Tower B water pressure will be low from 5:30 to 7 PM because the plumber is changing the pump-room valve.,,,0,tower b water pressure will be low from 5:30 to 7 pm because the plumber is changing the pump-room valve.,1,1,2,0,0,0,notify,tower b water pressure will be low from <num> to <num> pm because the plumber is changing the pump room valve,21:30-06:30,92,28,18,1,society,admin,2023-01-05,15,15,7,2,0,,,,,,,,,,,,,,,,,,,,,8.5,1.2857142857142858,leak-dc36d233cf3405e9
message_0163,u_040,group,group_014,,u_052,2026-05-04 12:17,"Wallet KYC incomplete. Open link and confirm card number, PIN and OTP to continue payments.",,,0,"wallet kyc incomplete. open link and confirm card number, pin and otp to continue payments.",0,0,,1,1,1,mute,wallet kyc incomplete open link and confirm card number pin and otp to continue payments,00:00-07:00,17,2,81,4,local_food,member,2026-04-08,4,4,1,4,0,,,,,,,,,,,,,,,,,,,,,10.928571428571429,5.357142857142857,leak-b288775b0d12866d
message_0258,u_007,business,,business_094,,2026-03-28 07:52,"New here? 50% Off Won't Wait!

Welcome! Get 50% off with TRY50.

But hurry, it might expire soon.

Ready to place your first order? Use it now!

T&C apply. Reply STOP to unsubscribe",,,0,"new here? 50% off won't wait! welcome! get 50% off with try50. but hurry, it might expire soon. ready to place your first order? use it now! t&c apply. reply stop to unsubscribe",0,0,,1,1,0,mute,new here <num> off won t wait welcome get <num> off with try50 but hurry it might expire soon ready to place your first order use it now t c apply reply stop to unsubscribe,22:00-07:00,44,6,68,2,,,,,,,,,Swish,Swish,food_delivery,1,swish.in,swish.in,4378,5242,6,3426,food_promotions_opted_out,2026-06-03 08:46,0,2026-07-17 23:55,3,0,9,0,,1,8.0,3.642857142857143,leak-886c15b712f37923
message_0237,u_011,group,group_011,,u_053,2026-03-22 07:46,Someone DM'd me a 'maintenance quick pay' QR from a new number. Looks odd. Admin pls confirm before anyone scans.,,,0,someone dm'd me a 'maintenance quick pay' qr from a new number. looks odd. admin pls confirm before anyone scans.,0,0,,1,1,1,mute,someone dm d me a maintenance quick pay qr from a new number looks odd admin pls confirm before anyone scans,21:30-06:30,92,28,18,1,society,member,2024-08-23,12,15,7,0,0,,,,,,,,,,,,,,,,,,,,,8.5,1.2857142857142858,leak-4e294cd43dad461b
message_0328,u_030,group,group_020,,u_043,2026-06-24 12:52,Lift 2 is stuck between floors; technician is on the way. Use staircase or Lift 1 until resolved.,,,0,lift 2 is stuck between floors; technician is on the way. use staircase or lift 1 until resolved.,1,1,2,0,0,0,notify,lift <num> is stuck between floors technician is on the way use staircase or lift <num> until resolved,22:30-07:30,56,11,55,0,safety,member,2024-05-23,2,2,0,4,0,,,,,,,,,,,,,,,,,,,,,6.642857142857143,1.9285714285714286,leak-fb9968ab26309f00
message_0009,u_035,group,group_009,,u_042,2026-05-30 07:57,"Good morning family, have a peaceful day.",,,0,"good morning family, have a peaceful day.",1,0,120,0,0,0,digest,good morning family have a peaceful day,23:30-07:30,91,26,28,0,family,member,2023-10-01,6,6,1,4,0,,,,,,,,,,,,,,,,,,,,,9.714285714285714,2.0,leak-fc3fb698cab6ea73
